ensgid,gene_name,Subsystem,category.HPA,tissues.HPA,category.GTEx,tissues.GTEx,fpkm.HPA.adrenal,fpkm.HPA.appendices,fpkm.HPA.bonemarrow,fpkm.HPA.brain,fpkm.HPA.colon,fpkm.HPA.duodenum,fpkm.HPA.endometrium,fpkm.HPA.esophagus,fpkm.HPA.fallopiantube,fpkm.HPA.fat,fpkm.HPA.gallbladder,fpkm.HPA.heart,fpkm.HPA.kidney,fpkm.HPA.liver,fpkm.HPA.lung,fpkm.HPA.lymphnode,fpkm.HPA.ovary,fpkm.HPA.pancreas,fpkm.HPA.placenta,fpkm.HPA.prostate,fpkm.HPA.rectum,fpkm.HPA.salivarygland,fpkm.HPA.skeletalmuscle,fpkm.HPA.skin,fpkm.HPA.smallintestine,fpkm.HPA.smoothmuscle,fpkm.HPA.spleen,fpkm.HPA.stomach,fpkm.HPA.testis,fpkm.HPA.thyroid,fpkm.HPA.tonsil,fpkm.HPA.urinarybladder,fpkm.GTEx.adipose,fpkm.GTEx.adrenal,fpkm.GTEx.artery,fpkm.GTEx.bladder,fpkm.GTEx.blood,fpkm.GTEx.brain.cerebellum,fpkm.GTEx.brain.cerebrum,fpkm.GTEx.breast,fpkm.GTEx.cervix,fpkm.GTEx.colon,fpkm.GTEx.esophagus,fpkm.GTEx.fallopiantube,fpkm.GTEx.heart,fpkm.GTEx.kidney,fpkm.GTEx.liver,fpkm.GTEx.lung,fpkm.GTEx.nerve,fpkm.GTEx.ovary,fpkm.GTEx.pancreas,fpkm.GTEx.pituitary,fpkm.GTEx.prostate,fpkm.GTEx.skeletalmuscle,fpkm.GTEx.skin,fpkm.GTEx.smallintestine,fpkm.GTEx.spleen,fpkm.GTEx.stomach,fpkm.GTEx.testis,fpkm.GTEx.thyroid,fpkm.GTEx.uterus,fpkm.GTEx.vagina,geneID
ENSG00000132639,SNAP25,Post-Golgi trafficking,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum",39.99,3.75,0.03,916.53,1.7,3.22,7.71,0.52,6.05,0.45,2.36,0.75,0.82,0.4,0.96,0.38,3.81,1.44,0.5,3.75,2.02,0.12,0.01,0.1,3.22,6.99,0.05,6.01,3.72,0.31,0.21,1.84,0.91,2.21,2.45,0.28,0.51,934.64,405.78,1.06,0.47,0.85,0.26,9.17,0.77,1.23,0.47,1.54,0.61,9.03,1.53,57.77,4.32,0.27,0.57,1.45,0.05,2.23,3.48,0.7,5.51,1.23,6616
ENSG00000106089,STX1A,COPI,Tissue enriched,brain,Group enriched,"brain.cerebellum,brain.cerebrum,pituitary",5.99,1.92,7.34,83.66,1.68,3.31,2.64,1.13,2.23,0.76,7.09,0.52,0.43,0.17,1.91,0.94,1.91,1.8,2.3,1.56,1.84,0.93,0.16,1.12,3.12,2.28,1.06,7.33,2.14,1.57,0.54,3.07,1.56,1.82,2.95,2.86,2.25,57.39,33.52,2.5,3.65,3.05,1.17,3.23,0.78,1.96,0.93,2.6,2.19,2.65,3.8,77.92,4.36,0.75,1.3,3.6,2.12,2.95,5.5,2.42,4.19,4.32,6804
ENSG00000136918,WDR38,Trafficking regulation,Tissue enriched,fallopiantube,Group enriched,"cervix,fallopiantube,lung,testis",0,0.02,0,0.11,0.01,0,0.63,0,68.29,0.01,0.03,0.07,0.01,0.01,4.31,0.01,0.03,0,0,0.04,0.01,0.02,0.05,0.06,0,0.08,0.06,0.02,3.25,0.09,0.02,0.02,0.02,0.02,0.05,0.01,0.01,0.05,0.67,0.03,2.22,0.02,0.02,5.71,0.03,0.03,0.01,3.07,0.05,0.05,0.02,0.13,0.04,0.01,0.01,0.02,0.03,0.02,7.72,0.17,0.05,0.03,401551
ENSG00000160202,CRYAA,Protein folding,Tissue enriched,kidney,Tissue enriched,kidney,0,0,0,0.05,0.04,0.17,0.01,0,0.01,0,0.01,0,20.51,1.36,0,0,0.02,0,0.01,0,0,0,0,0,0.17,0.01,0,0.03,0.03,0,0.02,0,0.01,0.01,0,0,0.13,0.07,0.12,0.04,0.01,0.01,0.01,0.01,0.01,65.83,11.25,0.01,0.03,0.02,0.01,0.01,0.01,0,0.02,0.02,0.03,0.01,0.2,0.01,0.02,0.03,1409
ENSG00000158089,GALNT14,Golgi glycosylation,Tissue enriched,kidney,Enhanced,kidney,1.33,0.64,3.01,3.24,0.13,0.73,0.09,4.44,1.21,0.9,2.2,0.04,27.88,0.45,0.51,2.01,0.13,0.61,0.03,0.63,0.08,0.5,0.02,1.58,2.47,0.55,0.7,0.23,1.82,0.7,4.1,2.27,0.27,0.21,0.19,0.83,4.84,1,1.02,0.73,0.43,0.09,5.45,0.55,0.11,11.06,0.15,0.47,0.12,0.07,0.52,4.82,1.1,0.05,0.84,1.03,1.47,0.27,2.07,0.65,0.17,0.78,79623
ENSG00000185615,PDIA2,Protein folding,Tissue enriched,pancreas,Enhanced,"pancreas,brain.cerebellum",0.4,0.37,0.39,3.92,0.2,14.18,0.11,0.05,0.27,0.44,0.1,0.99,0.07,0,0.18,0.18,1.17,508.1,2.09,0.1,0.27,0.4,0.11,0.11,4.59,0.01,0.31,53.1,0.33,0.11,0.4,0.17,0.53,0.22,0.54,0.27,0.12,224.05,21.17,0.37,0.28,1.2,0.37,0.49,1.38,0.36,0.15,0.45,2.64,0.45,663.54,8.78,0.88,0.22,0.2,5.66,0.23,90.43,1.69,0.28,0.27,0.48,64714
ENSG00000175518,UBQLNL,ERAD,Tissue enriched,testis,Tissue enriched,testis,0.1,0.1,0.18,0.04,0.11,0.13,0.25,0.14,0.29,0.08,0.25,0.04,0.09,0.1,0.25,0.26,0.36,0.01,0.17,0.25,0.13,0.14,0.03,0.39,0.11,0.28,0.31,0.1,23.06,0.18,0.13,0.12,0.37,0.55,0.42,0.53,0.37,0.07,0.15,0.66,0.87,0.36,0.28,0.77,0.26,0.59,0.35,0.7,0.7,1.81,0.37,0.45,1.27,0.05,0.36,0.71,1.13,0.34,33.37,1.06,1.17,0.73,143630
ENSG00000147570,DNAJC5B,Protein folding,Tissue enriched,testis,Tissue enriched,testis,0,2.81,0.26,0.04,0.77,1.46,0.19,0.12,0.25,0.27,0.58,0.29,0.18,1.08,3.54,8.15,0.19,0,0.13,0.55,1.28,0.33,0.04,0.01,0.87,0.11,1.39,0.71,63.68,0.15,3.75,1.87,0.05,0.02,0.03,0.03,0.06,0.01,0.02,0.06,0.01,0.11,0.01,0.02,0,0.02,0.03,0.44,0.01,0.02,0.02,0.05,0.03,0.04,0.01,0.29,0.34,0.04,28.49,0.01,0.01,0.01,85479
ENSG00000167139,TBC1D21,Trafficking regulation,Tissue enriched,testis,Tissue enriched,testis,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0.07,0,0,0,29.16,0,0,0,0,0,0.01,0.03,0,0,0.01,0.05,0.02,0,0,0.02,0,0.02,0.01,0,0,0.01,0.01,0,0.01,0,0.02,0,0,0.01,49.91,0,0.01,0,161514
ENSG00000175520,UBQLN3,ERAD,Tissue enriched,testis,Tissue enriched,testis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0.02,0,0,0,0,0,0,0,0,121.35,0,0,0,0.02,0.02,0.01,0.04,0.01,0.01,0.01,0.19,0.03,0.02,0.01,0.03,0.01,0.05,0.02,0.01,0.01,0.04,0.02,0.02,0.03,0.01,0.07,0.01,0.02,0.03,178.98,0.01,0.02,0.02,50613
ENSG00000123594,ATXN3L,ERAD,Tissue enriched,testis,Tissue enriched,testis,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.07,0,3.23,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,4.54,0,0,0,92552
ENSG00000204007,GLT6D1,Golgi glycosylation,Tissue enriched,testis,Tissue enriched,testis,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0.03,0,0,0.01,0,3.57,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0,2.87,0,0,0,360203
ENSG00000163793,DNAJC5G,Protein folding,Tissue enriched,testis,Tissue enriched,testis,0.12,0,0,0.33,0.03,0,0.12,0,0.11,0,0,0.28,0.06,0,0,0.07,0.01,0,0,0.04,0.03,0,0,0,0.01,0,0,0.01,19.99,0.01,0.02,0.03,0.11,0.6,0.17,0.06,0.01,0.01,0.51,0.08,0.51,0.06,0.05,0.36,0.84,0.03,0.01,0.02,0.04,0.19,0.01,0.02,0.24,0.02,0.03,0.07,0.01,0.03,20.85,0.18,0.56,0.19,285126
ENSG00000164070,HSPA4L,ERAD,Tissue enriched,testis,Tissue enriched,testis,9.51,0.96,1.03,7.31,2.98,1.6,0.98,11.54,7.16,0.82,3.67,3.46,10.05,3.21,1.43,0.31,1.7,0.85,3,2.99,2.9,2.19,0.31,5.51,0.99,2.47,0.65,1.49,109.79,3.65,3.98,2.8,0.85,7,2.94,1.69,0.11,6.4,5.03,2.73,1.16,1.07,7.38,1.15,1.85,3.08,2.86,0.91,1.93,2.2,1.48,7.11,2.17,0.64,5.85,0.99,0.57,1.44,57.43,1.62,0.87,4.79,22824
ENSG00000204390,HSPA1L,ERAD,Tissue enriched,testis,Tissue enriched,testis,1.22,1.24,0.59,1.91,0.81,0.48,1.56,0.75,3.76,0.63,0.97,0.95,1.1,0.33,1.23,1.56,3.73,0.13,0.84,1.36,0.84,0.71,1.8,0.8,0.64,1.24,1.75,0.82,51.52,2.26,1.31,1.13,0.82,1.48,1.14,1.39,2.52,2.67,2.08,0.88,1.49,0.95,0.51,2.14,0.72,0.79,0.83,0.99,1.04,2.17,0.51,1.8,1.02,1.59,0.73,1.28,1.93,0.89,72.65,1.62,1.92,1.04,3305
ENSG00000106648,GALNTL5,Golgi glycosylation,Tissue enriched,testis,Tissue enriched,testis,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0.01,0,0,0.51,0.02,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,15.52,0,0,0,168391
ENSG00000170613,FAM71B,Trafficking regulation,Tissue enriched,testis,Tissue enriched,testis,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,21.09,0,0.01,0,0,0.01,0,0.01,0,0,0,0.05,0.01,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0.01,35.03,0,0.01,0,153745
ENSG00000184389,A3GALT2,Golgi glycosylation,Not detected,,Enhanced,testis,0.03,0.03,0,0,0,0,0,0.02,0,0.04,0,0.01,0.01,0,0,0,0.03,0,0.01,0.01,0,0,0,0,0,0,0.03,0,0.05,0.02,0,0,0.09,0.05,0.11,0.06,0.34,0.26,0.05,0.12,0.08,0.04,0.04,0.15,0.03,0.07,0.03,0.12,0.16,0.07,0.03,0.13,0.12,0.06,0.04,0.07,0.16,0.07,0.65,0.12,0.09,0.1,127550
ENSG00000102595,UGGT2,Protein folding,Mixed,,Mixed,,5.85,4.46,1.83,3.98,4.59,4.06,9.77,3.36,5.84,6.33,6.08,3.18,5.7,3.04,4.46,2.24,6.13,2.14,8.54,6.3,5.45,3.76,0.49,2.51,3.41,8.2,3.2,5.84,12.34,10.66,2.1,8.01,5.34,2.97,6.78,4.34,0.16,0.65,2.25,5.02,5.11,2.19,1.39,4.68,2.27,2.28,1.49,3.57,6.35,3.9,2.61,4.9,3.71,1.15,2.14,2.18,1.77,2.95,5.25,5.15,4.87,3.59,55757
ENSG00000175164,ABO,Golgi glycosylation,Mixed,,Enhanced,colon,3.85,4.92,0.4,0.26,14.6,4.73,0.47,5.57,4.78,0.67,2.77,0.16,4.4,0.04,4.98,0.07,2.54,1,0.18,0.93,7.71,0.65,0.46,0.91,15.5,1.01,0.56,9.48,3.15,6.77,0.57,2.19,0.71,6.12,0.15,4.25,0.15,0.09,0.21,1.18,0.8,13.27,6.24,1.36,0.43,2.93,0.03,1.74,1.67,6.44,1.53,0.19,2.02,0.12,0.74,7.8,0.39,1.29,1.6,7.94,0.76,4.02,28
ENSG00000143315,PIGM,GPI biosynthesis,Mixed,,Expressed in all,,4.51,4.43,0.94,4.31,4.21,4.13,4.2,3.26,5.42,2.95,4.11,1.8,3.95,2.36,4.44,4.29,4.08,1.75,3.34,7.85,4.48,3.75,0.35,3.88,4.63,3.5,4.44,4.76,4.88,7.42,4.21,4.3,2.46,3.24,2.18,3.03,0.71,2.52,1.9,3.08,2.75,2.69,2.34,2.62,1.26,1.93,2.32,2.8,2.82,1.95,3.71,3.14,3.26,0.52,1.96,2.85,2.56,3.3,4.1,3.42,2.53,2.34,93183
ENSG00000104723,TUSC3,ER glycosylation,Mixed,,Mixed,,73.85,10.84,0.07,35.88,10.34,9.46,42.73,13.3,84.71,15.18,23.23,26.65,25.5,3.66,21.99,7.85,78.46,9.87,92.61,55.15,17.62,7.5,1.11,4.99,8.14,37.87,5.48,11.15,31.4,13.86,6.64,38.54,6.55,31.98,1.69,12.95,0.07,17.47,12.23,9.83,7.86,2.41,3.73,6.92,7.45,6.19,1.09,7.41,3.27,17.91,7.18,37.85,9.68,0.85,3.05,3.37,2.4,3.26,9.43,2.34,9.01,7.1,7991
ENSG00000100580,TMED8,Post-Golgi trafficking,Mixed,,Expressed in all,,7.31,7.97,3.67,8.37,3.88,2.51,6.47,3.04,5.82,4.07,4.09,1.84,7.82,1.4,4.17,15.23,6.18,1.25,3.47,5.05,4.27,2.06,0.45,3.35,3.22,5.01,6.72,5.03,7.15,10.01,16.84,4.97,3.42,5.4,3.23,4.23,5.77,7.31,6.79,4.07,5.16,2.79,2.16,4.42,1.61,4.15,1.55,3.78,3.99,4.65,2.07,9.77,4.25,1.15,2.87,4.45,5.64,3.04,5.95,6.66,4.77,3.2,283578
ENSG00000178750,STX19,Post-Golgi trafficking,Mixed,,Enhanced,colon,0.03,1.29,0.01,0.08,7.97,4.4,0.58,3.3,1.06,0.04,1.33,0.08,0.16,0.04,2.9,0.05,0.05,1.24,0.13,2.5,7.97,3.33,0,5.41,5.14,0.18,0.23,3.83,0.17,0.1,0.82,0.25,0.12,0.03,0.1,0.36,0.03,0.12,0.12,1.6,0.37,7.48,4.37,0.13,0.07,0.1,0.05,1.24,0.24,0.16,2.39,0.11,2.76,0.02,1.89,2,0.4,3.59,0.25,0.13,0.2,1.61,415117
ENSG00000047365,ARAP2,Trafficking regulation,Mixed,,Mixed,,1.99,8.78,7.57,15.25,3.34,6.63,3.02,8.57,3.25,2.3,6,0.77,2.71,3.25,10.71,11.65,1.29,0.98,2.06,1.96,4.03,1.92,0.09,11.16,6.15,2.86,7.73,4.34,6.27,15.76,9.06,5.64,1.1,0.26,0.33,2.08,1.73,1.83,6.06,1.76,1.1,1.5,4.21,1.06,0.35,0.99,1.05,4.22,1.84,0.33,1.07,1.54,1.39,0.16,6.87,3.3,3.53,1.32,3,9.17,1.04,2.74,116984
ENSG00000168282,MGAT2,Golgi glycosylation,Mixed,,Expressed in all,,1.89,3.25,2.1,1.43,9.92,6.8,1.49,0.36,0.85,5.25,0.58,0.73,2.2,1.85,3.9,1.66,1.12,1.36,3.82,3.02,0.6,3.38,1.17,1.66,5.94,0.82,8.4,9.14,4.75,0.22,0.76,0.89,9.98,15.3,7.96,8.33,5.3,5.52,4.35,7.88,10.43,15.22,8.41,11.72,5.56,5.71,13.58,10.62,6.13,9.35,12.59,7.31,10,1.95,5.26,13.99,15.41,10.88,25.87,8.05,9.92,8.86,4247
ENSG00000125637,PSD4,Trafficking regulation,Mixed,,Mixed,,7.73,16.61,7.83,1.77,8.71,10.21,1.64,7.96,5.44,2.1,7.55,0.47,2.24,5.07,9.5,23.75,0.96,3.05,7.31,9.46,8.08,11.96,0.11,8.01,11.71,2.02,19.18,11,1.47,9.61,23.91,8.5,1.81,16.54,1.01,7.5,36.96,0.23,1.77,10.11,2.07,12.31,10.62,2.68,0.67,5.68,17.77,9.49,2.14,0.72,9.21,4.89,17.57,0.2,10.51,24.51,35.05,13.41,4.87,16.69,1.13,4.91,23550
ENSG00000123570,RAB9B,Post-Golgi trafficking,Mixed,,Enhanced,brain.cerebellum,2.54,0.86,0.07,7.19,1.48,0.91,4.92,6.86,3.22,1.4,2.38,11.91,0.33,0.06,0.6,0.55,5.89,0.19,0.21,5.59,1.9,0.57,2.48,0.3,0.99,8.36,0.41,0.86,1.88,1.4,0.39,4.2,1.32,0.79,4.78,6.19,0.05,15.76,6.29,1.07,2.89,1.52,0.88,7.42,6.66,0.26,0.06,0.64,1.75,5.82,0.5,5.83,3.74,2.15,0.4,2.08,0.35,1.92,1.23,1.02,4.72,1.48,51209
ENSG00000109586,GALNT7,Golgi glycosylation,Mixed,,Mixed,,5.83,14.33,4.75,8.84,39.5,22.43,15.57,12.31,10.42,4.93,15.67,3.08,5.69,1.19,6.86,10.09,9.34,4.88,9.14,36.87,44.53,8.48,0.24,1.34,27.24,14.25,7.91,49.08,12.26,12.6,8.12,15.68,3.01,3.11,5.15,8.48,2.85,19.33,4.36,9.58,5.77,16.01,8.69,4.23,1.53,2.77,0.35,3.86,3.72,5.41,7.22,3.77,14.4,0.53,2.65,11.5,4.37,12.65,4.74,5.37,6.59,4.46,51809
ENSG00000172986,GXYLT2,Golgi glycosylation,Mixed,,Mixed,,2.92,4,0.9,1.72,2.53,0.77,6.03,2.81,5.61,4.22,10.1,6.94,0.75,0.17,2.99,1.23,13.07,1.03,2.97,2.82,1.78,0.98,0.26,1.45,0.58,5.39,0.8,0.76,5.17,6.68,0.89,8.17,1.73,2.88,2.92,1.63,0.04,0.13,0.72,2.4,3.11,1.09,0.4,2.71,3.16,0.34,0.06,2.01,3.69,6.99,0.61,1.14,1.33,0.25,0.82,0.66,0.11,0.62,2.94,2.59,2.11,2.41,727936
ENSG00000222014,RAB6C,Post-Golgi trafficking,Mixed,,Enhanced,breast,2.22,1.21,0.37,3.45,1.57,1.14,1.6,1.46,0.84,1.54,0.99,0.75,1.26,0.69,1.43,0.75,1.04,0.3,1.63,2.58,0.9,0.36,0.56,0.58,1.75,0.98,1.31,0.93,1.84,1.54,0.68,1.38,0.2,0.12,0.3,0.14,0.06,0.33,1.11,2.1,0.81,0.14,0.14,0.19,0.14,0.12,0.07,0.21,0.24,0.11,0.06,0.24,0.86,0.1,0.17,0.18,0.36,0.11,1.15,0.31,0.33,0.32,84084
ENSG00000095383,TBC1D2,Trafficking regulation,Mixed,,Expressed in all,,2.03,4.36,5.81,3.38,5.57,8.78,2.56,10.65,3.11,2.78,3.75,0.56,1.62,1.3,21.35,2.96,1.51,0.46,7.34,3.37,3.29,2.61,0.59,10.08,7.13,2.19,3.08,3.2,2.1,3.96,3.81,11.26,5.12,3.29,3.46,11.55,18.35,5.68,4.63,6.1,5.27,7.22,20.47,3.94,1.22,3.43,5.58,22.96,8.06,2.08,1.21,3.11,9.19,1.31,14.9,5.42,6.4,4.1,2.89,5.91,3.33,11.19,55357
